"СЕЗОН ""СОПРОТИВЛЕНИЕ""",,,,,
Иконка,Название,Тип урона,Тип оружия и рама,Ролл в PvE,Ролл в PvP
,Вечный цикл,,Адаптивный автомат,Не подходить/Завистливый ассасин - Детеныш/Идеальный треугольник/Диверсант/Захват цели,Не подходить/Убийственный вихрь/Постижение дзен - Захват цели/Идеальный треугольник/Глаз бури
,Умелый рассказчик,,Точный лук,Реакция лучника/Источник/Стреляй-подбирай - Надгробие/Взрывной наконечник/Успешный прогрев/Кулачный бой,Реакция лучника/Идеальный полет - Успешный прогрев/Взрывной наконечник/Надгробие
,Королевский палач,,Адаптивная плазменная винтовка,Завистливый ассасин/Золотой свинец/Мародер - Заряженный залп/Раскаленность,Устойчивая изготовка - Стихийный конденсатор/Успешный прогрев/Убийственный вихрь
,Блудное дитя,,Облегченный гранатомет,Золотой свинец/Тактическая подготовка/Завистливый ассасин - Электрозаряд/Диверсант/Дестабилизатор,Молотьба - Дестабилизатор/Электрозаряд
,Владыка,,Адаптивный гранатомет,Завистливый ассасин/Кобура с автоподзарядом - Взрывной Свет/Быстрая стрельба,-
,Хранитель,,Адаптивный меч,Град ударов/Транс дуэлянта - В окружении/Раскаленность,-
,,,,,
"СЕЗОН ""ГЛУБИНЫ""",,,,,
Иконка,Название,Тип урона,Тип оружия и рама,Ролл в PvE,Ролл в PvP
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"СЕЗОН ""???""",,,,,
Иконка,Название,Тип урона,Тип оружия и рама,Ролл в PvE,Ролл в PvP
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"СЕЗОН ""???""",,,,,
Иконка,Название,Тип урона,Тип оружия и рама,Ролл в PvE,Ролл в PvP
